,author,loyalty_score,FUD_ratio,num_of_messages_normalized,meaningful_msg_ratio
1678,hasanudin,0.0,0.0,2.17,0.09
1679,Hasanudin89,0.0,0.0,2.17,0.09
1680,greatjoe,0.0,0.0,2.17,0.09
1681,Filipe Guimarães,0.0,0.0,2.17,0.09
1682,tkhaha,0.0,0.0,2.17,0.09
1683,yizudefendou,0.0,0.0,1.54,0.09
1684,Nosrat31,0.0,0.0,2.27,0.09
1685,blungon,0.0,0.0,2.27,0.09
1686,Rsun,0.0,0.0,1.49,0.07
1687,KKIRAN4,0.0,0.0,2.27,0.09
1688,aomindaiki189,0.0,0.0,2.27,0.09
1689,JAIRO,0.0,0.0,2.22,0.09
1690,Rohmat94 | GunFire,0.0,0.0,2.22,0.09
1691,dokis,0.0,0.0,2.22,0.09
1692,coinboss687,0.0,0.0,2.22,0.09
1693,senmisuji,0.0,0.0,2.22,0.09
1694,Ushlepok,0.0,0.0,2.22,0.09
1695,ojbk,0.0,0.0,2.22,0.09
1696,Evo,0.0,0.0,2.22,0.09
1697,agusrohman,0.0,0.0,2.22,0.09
1698,Yulianti89,0.0,0.0,2.22,0.09
1699,yoghurtt,0.0,0.0,2.22,0.09
1700,hitusoyoyo,0.0,0.0,2.22,0.09
1701,mengilang,0.0,0.0,2.22,0.09
1702,redlix01,0.0,0.0,2.22,0.09
1703,Yoomoota,0.0,0.0,2.22,0.09
1704,breston,0.0,0.0,2.22,0.09
1705,beIuga,0.0,0.0,2.22,0.09
1706,Miracle,0.0,0.0,2.22,0.09
1707,yilulihua,0.0,0.0,2.22,0.09
1708,Ryanpradan,0.0,0.0,2.22,0.09
1709,vitolb,0.0,0.0,2.22,0.09
1710,fernandatarigan20,0.0,0.0,2.22,0.09
1711,mori,0.0,0.0,2.22,0.09
1712,xsa,0.0,0.0,2.22,0.09
1713,jodi,0.0,0.0,2.22,0.09
1714,Koala,0.0,0.0,2.22,0.09
1715,H1TL3RK1LL3R,0.0,0.0,2.22,0.09
1716,qifei17,0.0,0.0,2.22,0.09
1717,alimkopet,0.0,0.0,2.22,0.09
1718,Co33,0.0,0.0,2.22,0.09
1719,Sunil67,0.0,0.0,2.22,0.09
1720,adibu,0.0,0.0,2.22,0.09
1721,Kotaru,0.0,0.0,2.27,0.09
1722,electron17,0.0,0.0,2.27,0.09
1723,Kangdadang,0.0,0.0,2.27,0.09
1724,shanto79,0.0,0.0,2.27,0.09
1725,DrOp,0.0,0.0,2.27,0.09
1726,Maui,0.0,0.0,3.7,0.09
1727,japn7shawty ≡ƒÆö,0.0,0.0,3.7,0.09
1728,NicoG4ming,0.0,0.0,3.7,0.09
1729,Laguta,0.0,0.0,3.7,0.09
1730,ΓÖí R. | Ventilateur,0.0,0.0,3.7,0.09
1731,Kinoko owagari,0.0,0.0,3.7,0.09
1732,webstar,0.0,0.0,3.7,0.09
1733,IrishLovesYou,0.0,0.0,3.7,0.09
1734,aueen607,0.0,0.0,3.7,0.09
1735,aspen7,0.0,0.0,3.7,0.09
1736,PHΓƒüNTXM,0.0,0.0,3.7,0.09
1737,Bloxsan,0.0,0.0,3.7,0.09
1738,XingTai,0.0,0.0,1.49,0.07
1739,Shrug,0.0,0.0,2.27,0.09
1740,atharray,0.0,0.0,2.27,0.09
1741,xv,0.0,0.0,2.27,0.09
1742,The goat,0.0,0.0,2.27,0.09
1743,atlas α⌐êΓ£⌐ΓÇºΓéè╦Ü,0.0,0.0,2.27,0.09
1744,Carnage,0.0,0.0,2.27,0.09
1745,axiom,0.0,0.0,2.27,0.09
1746,Tegen,0.0,0.0,2.27,0.09
1747,A Z A Q .,0.0,0.0,2.27,0.09
1748,Zoller,0.0,0.0,2.27,0.09
1749,Zyyda,0.0,0.0,2.27,0.09
1750,aeri,0.0,0.0,2.27,0.09
1751,tax fraud,0.0,0.0,2.27,0.09
1752,Switchy96,0.0,0.0,2.27,0.09
1753,Swoly,0.0,0.0,2.27,0.09
1754,Dutchxarms,0.0,0.0,2.27,0.09
1755,Dreamz,0.0,0.0,2.27,0.09
1756,Crowee,0.0,0.0,2.27,0.09
1757,SynthesisBeats,0.0,0.0,2.27,0.09
1758,Aki55,0.0,0.0,2.27,0.09
1759,sigma<3,0.0,0.0,2.27,0.09
1760,wahyuhardeka,0.0,0.0,2.27,0.09
1761,T6oBulgasari,0.0,0.0,2.27,0.09
1762,Sphynx,0.0,0.0,2.27,0.09
1763,AAYS39,0.0,0.0,2.27,0.09
1764,ADIN,0.0,0.0,2.27,0.09
1765,tarikul9070,0.0,0.0,2.27,0.09
1766,Sleeping_pinkie,0.0,0.0,2.27,0.09
1767,Denied,0.0,0.0,2.27,0.09
1768,ayu,0.0,0.0,2.27,0.09
1769,Veysel.Γü╖,0.0,0.0,2.27,0.09
1770,sytrixπü¬,0.0,0.0,2.27,0.09
1771,Zaaneki,0.0,0.0,2.27,0.09
1772,chigan bhaiya,0.0,0.0,2.27,0.09
1773,TheDerpyZ,0.0,0.0,2.27,0.09
1774,SPARTUS,0.0,0.0,2.27,0.09
1775,DanchiΓÖí,0.0,0.0,2.27,0.09
1776,Xuuled.,0.0,0.0,2.27,0.09
1777,brandonn,0.0,0.0,2.27,0.09
1778,WaLakshit αñ¡αñ╛αñ░αññ,0.0,0.0,2.27,0.09
1779,Aidxn,0.0,0.0,2.27,0.09
1780,Enzo_bsn,0.0,0.0,2.27,0.09
1781,Toutdeus,0.0,0.0,2.27,0.09
1782,Woffeh,0.0,0.0,2.27,0.09
1783,caligulasAquarium,0.0,0.0,2.27,0.09
1784,AVA,0.0,0.0,2.27,0.09
1785,catto Φ┐Ö,0.0,0.0,2.27,0.09
1786,RogerΓäó,0.0,0.0,2.27,0.09
1787,Rubii,0.0,0.0,2.27,0.09
1788,sonii,0.0,0.0,2.27,0.09
1789,cess,0.0,0.0,2.27,0.09
1790,soju,0.0,0.0,2.27,0.09
1791,Trxq,0.0,0.0,2.27,0.09
1792,6x,0.0,0.0,2.27,0.09
1793,Trypn,0.0,0.0,2.27,0.09
1794,Ernie,0.0,0.0,2.27,0.09
1795,chavon,0.0,0.0,2.27,0.09
1796,Tuxedo,0.0,0.0,2.27,0.09
1797,chick,0.0,0.0,2.27,0.09
1798,star Γÿåσ╜í,0.0,0.0,2.27,0.09
1799,AZIZ IS SO GLAD,0.0,0.0,2.27,0.09
1800,Cmiwiw,0.0,0.0,2.27,0.09
1801,starzin,0.0,0.0,2.27,0.09
1802,TheLegend27,0.0,0.0,2.27,0.09
1803,Cata,0.0,0.0,2.27,0.09
1804,Dogggy,0.0,0.0,2.27,0.09
1805,ASpookyDog,0.0,0.0,2.27,0.09
1806,Em,0.0,0.0,2.27,0.09
1807,chipussy,0.0,0.0,2.27,0.09
1808,9nya.m3assba);,0.0,0.0,2.27,0.09
1809,Sashimi,0.0,0.0,2.27,0.09
1810,Aji syamsudin,0.0,0.0,2.27,0.09
1811,Yoshii Bo,0.0,0.0,2.27,0.09
1812,sultcey,0.0,0.0,2.27,0.09
1813,ydanl,0.0,0.0,2.27,0.09
1814,Sansjeff,0.0,0.0,2.27,0.09
1815,bgsald,0.0,0.0,2.27,0.09
1816,Samet Sars─▒lmaz,0.0,0.0,2.27,0.09
1817,Adu,0.0,0.0,2.27,0.09
1818,Tiyangster,0.0,0.0,2.27,0.09
1819,TjKayn,0.0,0.0,2.27,0.09
1820,blazedjake,0.0,0.0,2.27,0.09
1821,Citlaly≡ƒÆ╕,0.0,0.0,2.27,0.09
1822,Tobby≡ƒî╕,0.0,0.0,2.27,0.09
1823,Yanny,0.0,0.0,2.27,0.09
1824,toasty,0.0,0.0,2.27,0.09
1825,ReXx_V2,0.0,0.0,2.27,0.09
1826,Yvk$tar.,0.0,0.0,2.27,0.09
1827,├⌐ o novas,0.0,0.0,2.27,0.09
1828,Peaceful,0.0,0.0,2.27,0.09
1829,200?,0.0,0.0,2.27,0.09
1830,Bybie,0.0,0.0,2.27,0.09
1831,fabi's uwu mutti,0.0,0.0,2.27,0.09
1832,╩Äpu╔╣,0.0,0.0,2.27,0.09
1833,BlueMoon,0.0,0.0,2.27,0.09
1834,imy,0.0,0.0,2.27,0.09
1835,Jinro,0.0,0.0,2.27,0.09
1836,.skye╪¬ΓÖò,0.0,0.0,2.27,0.09
1837,ilps,0.0,0.0,2.27,0.09
1838,Jisu,0.0,0.0,2.27,0.09
1839,BEN ALI,0.0,0.0,2.27,0.09
1840,Ghost(Γùá∩╕┐ΓùáΓ£┐) α╢₧,0.0,0.0,2.27,0.09
1841,L O F T Y,0.0,0.0,2.27,0.09
1842,╨░╨┐╨┐╨░╤Ç╨░╤é,0.0,0.0,2.27,0.09
1843,A┬óeΓÖá,0.0,0.0,2.27,0.09
1844,Moss,0.0,0.0,2.27,0.09
1845,Anakk,0.0,0.0,2.27,0.09
1846,liva !,0.0,0.0,2.27,0.09
1847,samiralzema,0.0,0.0,2.27,0.09
1848,refugee,0.0,0.0,2.27,0.09
1849,"Plant, ""Lord of Weebs""",0.0,0.0,2.27,0.09
1850,Pipax,0.0,0.0,2.27,0.09
1851,CARBONE,0.0,0.0,2.27,0.09
1852,.Ash_,0.0,0.0,2.27,0.09
1853,Ph─ü├▒t├╕m,0.0,0.0,2.27,0.09
1854,elkin,0.0,0.0,2.27,0.09
1855,elo BENC≡ƒÆû≡ƒÖè,0.0,0.0,2.27,0.09
1856,MochaMocha,0.0,0.0,2.27,0.09
1857,Giga-Nibba,0.0,0.0,2.27,0.09
1858,emmy<3,0.0,0.0,2.27,0.09
1859,.acquila,0.0,0.0,2.27,0.09
1860,Jex,0.0,0.0,2.27,0.09
1861,lolichan,0.0,0.0,2.27,0.09
1862,≡¥ÿù≡¥ÿª≡¥ÿó≡¥ÿ│≡¥ÿ¡Σ╣ê,0.0,0.0,2.27,0.09
1863,Mr.Reaper,0.0,0.0,2.27,0.09
1864,PB | Zoomair | Leon,0.0,0.0,2.27,0.09
1865,µé¬σñó Dan Γ¢ô,0.0,0.0,2.27,0.09
1866,fr3shc0rpse,0.0,0.0,2.27,0.09
1867,Avni,0.0,0.0,2.27,0.09
1868,Khuma,0.0,0.0,2.27,0.09
1869,FunnyHopper_Aici,0.0,0.0,2.27,0.09
1870,Nyuu,0.0,0.0,2.27,0.09
1871,Γ£¿CrevetteeeΓ£¿≡ƒÆ£,0.0,0.0,2.27,0.09
1872,Nxvin,0.0,0.0,2.27,0.09
1873,Γÿàσ╜í ≡¥Éæodrigo_Filipe σ╜íΓÿà,0.0,0.0,2.27,0.09
1874,Γ£ç|╞£╬»Γ▒á|Γ£ç,0.0,0.0,2.27,0.09
1875,NotJin,0.0,0.0,2.27,0.09
1876,Botervlieg,0.0,0.0,2.27,0.09
1877,Hr_wu11,0.0,0.0,2.27,0.09
1878,Γü╢ΓéåΓü╖ Rayzor,0.0,0.0,2.27,0.09
1879,H2KING,0.0,0.0,2.27,0.09
1880,ΓÉìKefensive 1,0.0,0.0,2.27,0.09
1881,"Γé▓Γ▒º├ÿΓé┤Γé« (├│ ╠» ├▓,)",0.0,0.0,2.27,0.09
1882,FunWithNull,0.0,0.0,2.27,0.09
1883,╟â ≡¥ôæ≡¥ô╛≡¥ô╖≡¥ô╖≡¥öé,0.0,0.0,2.27,0.09
1884,Γÿ╛ ΓÖ¢ Γÿ╜,0.0,0.0,2.27,0.09
1885,g-host,0.0,0.0,2.27,0.09
1886,µ░┤Θó¿Σ┐íσ¡É,0.0,0.0,2.27,0.09
1887,Heart,0.0,0.0,2.27,0.09
1888,sacred,0.0,0.0,2.27,0.09
1889,MrTuxedo,0.0,0.0,2.27,0.09
1890,maanass,0.0,0.0,2.27,0.09
1891,icedragon,0.0,0.0,2.27,0.09
1892,BronksN$ΓÜí,0.0,0.0,2.27,0.09
1893,mamboss,0.0,0.0,2.27,0.09
1894,Omidreza Rostami,0.0,0.0,2.27,0.09
1895,≡ƒî╕Fevi Fox≡ƒî╕,0.0,0.0,2.27,0.09
1896,Ωºü α╝║ F╩Ç╟ƒ α╝╗ Ωºé,0.0,0.0,2.27,0.09
1897,Muhammed Avdol,0.0,0.0,2.27,0.09
1898,≡ƒî╕≡ƒî╕,0.0,0.0,2.27,0.09
1899,╦ïΓïå ΓÇö Sonic!,0.0,0.0,2.27,0.09
1900,Jd14Twitch,0.0,0.0,2.27,0.09
1901,Blizzard,0.0,0.0,2.27,0.09
1902,Γä│4,0.0,0.0,2.27,0.09
1903,Luidjy,0.0,0.0,2.27,0.09
1904,Berke,0.0,0.0,2.27,0.09
1905,ArdiantoGMBL,0.0,0.0,2.27,0.09
1906,GreenMonsterDekalb,0.0,0.0,2.27,0.09
1907,dante.,0.0,0.0,2.27,0.09
1908,jmsema,0.0,0.0,2.27,0.09
1909,Megumi,0.0,0.0,2.27,0.09
1910,≡¥ö╣≡¥ò¥≡¥òÆ≡¥òò≡¥òû,0.0,0.0,2.27,0.09
1911,Lightskin Jayy≡ƒÆö,0.0,0.0,2.27,0.09
1912,Beio,0.0,0.0,2.27,0.09
1913,Luna Γ£º,0.0,0.0,2.27,0.09
1914,BangBang,0.0,0.0,2.27,0.09
1915,Pop,0.0,0.0,2.27,0.09
1916,Beau<3,0.0,0.0,2.27,0.09
1917,landhiez,0.0,0.0,2.27,0.09
1918,キタサン,0.0,0.0,2.27,0.09
1919,juksterjay,0.0,0.0,2.27,0.09
1920,FEVL,0.0,0.0,2.27,0.09
1921,notabowl,0.0,0.0,2.27,0.09
1922,∞£á∞áò∞äá,0.0,0.0,2.27,0.09
1923,kurni10,0.0,0.0,2.27,0.09
1924,≡¥ôÖ≡¥ô¬≡¥öé≡¥ô¡≡¥ô«≡¥ô╖,0.0,0.0,2.27,0.09
1925,Loonly,0.0,0.0,2.27,0.09
1926,BattleReign,0.0,0.0,2.27,0.09
1927,Arfan,0.0,0.0,2.27,0.09
1928,Faggy,0.0,0.0,2.27,0.09
1929,≡¥ÉÑ≡¥Éó≡¥É│,0.0,0.0,2.27,0.09
1930,kozzyyy Ny,0.0,0.0,2.27,0.09
1931,HN_Niner,0.0,0.0,2.27,0.09
1932,MacTez,0.0,0.0,2.27,0.09
1933,! Alyssa,0.0,0.0,2.27,0.09
1934,Libero,0.0,0.0,2.27,0.09
1935,Badger,0.0,0.0,2.27,0.09
1936,MIAAΘ║╝,0.0,0.0,2.27,0.09
1937,LeeM,0.0,0.0,2.27,0.09
1938,oebu,0.0,0.0,2.27,0.09
1939,! ┼ª Fighterr,0.0,0.0,2.27,0.09
1940,CLOWNBAE,0.0,0.0,2.27,0.09
1941,janine. <3,0.0,0.0,2.27,0.09
1942,HanSenpai ΓÇá,0.0,0.0,2.27,0.09
1943,satriokebondanu,0.0,0.0,2.27,0.09
1944,",s",0.0,0.0,2.27,0.09
1945,πé╣πâ⌐πâ╝πÇé,0.0,0.0,2.27,0.09
1946,Gollum,0.0,0.0,2.27,0.09
1947,GranolaxPepitos,0.0,0.0,2.27,0.09
1948,d1pole,0.0,0.0,2.27,0.09
1949,≡¥Öù≡¥Öº≡¥ÖÜ≡¥ÖÜ,0.0,0.0,2.27,0.09
1950,BirdWithSuit,0.0,0.0,2.27,0.09
1951,MTRaptorr,0.0,0.0,2.27,0.09
1952,Jan ∞₧ö,0.0,0.0,2.27,0.09
1953,Graduated Virt...,0.0,0.0,2.27,0.09
1954,LiBA,0.0,0.0,2.27,0.09
1955,Purified,0.0,0.0,2.27,0.09
1956,jibran afridi,0.0,0.0,2.27,0.09
1957,HAMMERofDEgods,0.0,0.0,2.27,0.09
1958,bindas,0.0,0.0,2.27,0.09
1959,keno,0.0,0.0,2.27,0.09
1960,kolelbagus03,0.0,0.0,2.27,0.09
1961,hashira,0.0,0.0,2.27,0.09
1962,mbah87,0.0,0.0,2.27,0.09
1963,akbar,0.0,0.0,2.27,0.09
1964,Sany,0.0,0.0,2.27,0.09
1965,SalimMolla,0.0,0.0,2.27,0.09
1966,Naphtali,0.0,0.0,2.27,0.09
1967,mapagcuan,0.0,0.0,2.27,0.09
1968,qevna,0.0,0.0,2.27,0.09
1969,r4ngg4rut,0.0,0.0,2.27,0.09
1970,MrPraveen,0.0,0.0,2.27,0.09
1971,astohoet05,0.0,0.0,2.27,0.09
1972,Hannah ~Queen-,0.0,0.0,2.27,0.09
1973,Harrydham,0.0,0.0,2.27,0.09
1974,0xNel,0.0,0.0,2.27,0.09
1975,Anansfm,0.0,0.0,2.27,0.09
1976,LatriceS.Pound,0.0,0.0,2.27,0.09
1977,Sibetzy,0.0,0.0,2.27,0.09
1978,Bajol,0.0,0.0,2.27,0.09
1979,ShSalmanKhan,0.0,0.0,2.27,0.09
1980,ariyan,0.0,0.0,2.27,0.09
1981,AKASH,0.0,0.0,2.27,0.09
1982,Motomti,0.0,0.0,2.27,0.09
1983,thanoos,0.0,0.0,2.27,0.09
1984,reugeup,0.0,0.0,2.27,0.09
1985,Crypto_King777,0.0,0.0,2.27,0.09
1986,Drakbers,0.0,0.0,2.27,0.09
1987,achlanbbq,0.0,0.0,2.27,0.09
1988,LintPK,0.0,0.0,2.27,0.09
1989,bahastee5050,0.0,0.0,2.27,0.09
1990,rakswp,0.0,0.0,2.27,0.09
1991,adepar,0.0,0.0,2.27,0.09
1992,adi_conoha,0.0,0.0,2.27,0.09
1993,supercherry2020,0.0,0.0,2.27,0.09
1994,Mr.X,0.0,0.0,2.27,0.09
1995,ramela,0.0,0.0,2.27,0.09
1996,efortune,0.0,0.0,2.27,0.09
1997,BraxyGarapAirdrop,0.0,0.0,2.27,0.09
1998,Febrykenz07,0.0,0.0,2.27,0.09
1999,gengkenbam,0.0,0.0,2.27,0.09
2000,emmanuel,0.0,0.0,2.27,0.09
2001,Viettel551551,0.0,0.0,2.27,0.09
2002,ferdiokta,0.0,0.0,2.27,0.09
2003,Anwarm,0.0,0.0,2.27,0.09
2004,vekababerr,0.0,0.0,2.27,0.09
2005,Charlottes,0.0,0.0,2.27,0.09
2006,Usha,0.0,0.0,2.27,0.09
2007,Anjay,0.0,0.0,2.27,0.09
2008,Aldisaputra,0.0,0.0,2.27,0.09
2009,pejuang.hentai,0.0,0.0,2.27,0.09
2010,1nno.eth,0.0,0.0,2.27,0.09
2011,Papipinto,0.0,0.0,2.27,0.09
2012,Ariful890,0.0,0.0,2.27,0.09
2013,Tonmoy,0.0,0.0,2.27,0.09
2014,fisherman2020,0.0,0.0,2.27,0.09
2015,Erenz,0.0,0.0,2.27,0.09
2016,crazy-holder,0.0,0.0,2.27,0.09
2017,Nuzykun,0.0,0.0,2.27,0.09
2018,sindara123,0.0,0.0,2.27,0.09
2019,yusri1709,0.0,0.0,2.27,0.09
2020,starx,0.0,0.0,2.27,0.09
2021,Daruma2016,0.0,0.0,2.27,0.09
2022,seeingyouismyhappiness,0.0,0.0,2.27,0.09
2023,trinhhbl,0.0,0.0,2.27,0.09
2024,scholars,0.0,0.0,2.27,0.09
2025,Horusfeathers,0.0,0.0,2.27,0.09
2026,gowtham,0.0,0.0,2.27,0.09
2027,msccholank,0.0,0.0,2.27,0.09
2028,muhdabdullahi,0.0,0.0,2.27,0.09
2029,opsy,0.0,0.0,2.27,0.09
2030,zilham,0.0,0.0,2.27,0.09
2031,sara1,0.0,0.0,2.27,0.09
2032,dienhobitha,0.0,0.0,2.27,0.09
2033,Tusar,0.0,0.0,2.27,0.09
2034,TB12 | McM Ventures,0.0,0.0,2.27,0.09
2035,Jatji,0.0,0.0,2.27,0.09
2036,Haikal,0.0,0.0,2.27,0.09
2037,Ufhuck,0.0,0.0,2.27,0.09
2038,Jayfolded||,0.0,0.0,2.27,0.09
2039,JakeDeCornflake,0.0,0.0,2.27,0.09
2040,Limerenceσñ┤µÖò,0.0,0.0,2.27,0.09
2041,Lexy,0.0,0.0,2.27,0.09
2042,Jahod,0.0,0.0,2.27,0.09
2043,vasanth388,0.0,0.0,2.27,0.09
2044,Janice.carr.737,0.0,0.0,2.27,0.09
2045,Haikuπé¡πââπâê,0.0,0.0,2.27,0.09
2046,Dread,0.0,0.0,2.27,0.09
2047,Jamalsetiawan,0.0,0.0,2.27,0.09
2048,varadharajan,0.0,0.0,2.27,0.09
2049,Jamane,0.0,0.0,2.27,0.09
2050,TG MISTER,0.0,0.0,2.27,0.09
2051,JamesBond,0.0,0.0,2.27,0.09
2052,wafe25227,0.0,0.0,2.27,0.09
2053,vanphu872,0.0,0.0,2.27,0.09
2054,Umar,0.0,0.0,2.27,0.09
2055,TONY,0.0,0.0,2.27,0.09
2056,vantruong87,0.0,0.0,2.27,0.09
2057,Dr. Krrish_M,0.0,0.0,2.27,0.09
2058,Jamessi,0.0,0.0,2.27,0.09
2059,LittleLia,0.0,0.0,2.27,0.09
2060,vanhau76,0.0,0.0,2.27,0.09
2061,Aa Joji,0.0,0.0,2.27,0.09
2062,wanzty1,0.0,0.0,2.27,0.09
2063,Devanandkr,0.0,0.0,2.27,0.09
2064,Suika,0.0,0.0,2.27,0.09
2065,HELP ME,0.0,0.0,2.27,0.09
2066,Sufala,0.0,0.0,2.27,0.09
2067,SuccGoblin,0.0,0.0,2.27,0.09
2068,wasim,0.0,0.0,2.27,0.09
2069,JAYANTH,0.0,0.0,2.27,0.09
2070,Lusi091,0.0,0.0,2.27,0.09
2071,valor,0.0,0.0,2.27,0.09
2072,JadenG,0.0,0.0,2.27,0.09
2073,JAPON├èS BAIANO,0.0,0.0,2.27,0.09
2074,ItsJunior,0.0,0.0,2.27,0.09
2075,! Agung,0.0,0.0,2.27,0.09
2076,Lyn,0.0,0.0,2.27,0.09
2077,wawan21,0.0,0.0,2.27,0.09
2078,Vaid,0.0,0.0,2.27,0.09
2079,Strange,0.0,0.0,2.27,0.09
2080,Stormy,0.0,0.0,2.27,0.09
2081,IrfanYunusNasution,0.0,0.0,2.27,0.09
2082,Uzumaki Kushina,0.0,0.0,2.27,0.09
2083,DevilTown,0.0,0.0,2.27,0.09
2084,HS.,0.0,0.0,2.27,0.09
2085,Loyalty,0.0,0.0,2.27,0.09
2086,JacobSimmons,0.0,0.0,2.27,0.09
2087,≡¥ôÿ≡¥ô¼≡¥öé,0.0,0.0,2.27,0.09
2088,Ilikesleeping,0.0,0.0,2.27,0.09
2089,Icall,0.0,0.0,2.27,0.09
2090,wahyusaputra,0.0,0.0,2.27,0.09
2091,Locks86366,0.0,0.0,2.27,0.09
2092,!KENZO,0.0,0.0,2.27,0.09
2093,Dewihan42,0.0,0.0,2.27,0.09
2094,Hafiz,0.0,0.0,2.27,0.09
2095,ペイント,0.0,0.0,2.27,0.09
2096,walka,0.0,0.0,2.27,0.09
2097,JULLEBULLE,0.0,0.0,2.27,0.09
2098,!Mrs. Moon,0.0,0.0,2.27,0.09
2099,ImLos,0.0,0.0,2.27,0.09
2100,JL Lono,0.0,0.0,2.27,0.09
2101,wanmetty,0.0,0.0,2.27,0.09
2102,Surya,0.0,0.0,2.27,0.09
2103,Surspars,0.0,0.0,2.27,0.09
2104,Suresh27,0.0,0.0,2.27,0.09
2105,Jayyify,0.0,0.0,2.27,0.09
2106,KamikaZ,0.0,0.0,2.27,0.09
2107,Twitch Kxllz1x,0.0,0.0,2.27,0.09
2108,Kiro19964,0.0,0.0,2.27,0.09
2109,KhusidulAnsari,0.0,0.0,2.27,0.09
2110,ASubhashri,0.0,0.0,2.27,0.09
2111,Kijeee,0.0,0.0,2.27,0.09
2112,King Solo,0.0,0.0,2.27,0.09
2113,King2313,0.0,0.0,2.27,0.09
2114,Kirinn,0.0,0.0,2.27,0.09
2115,KKIRAN,0.0,0.0,2.27,0.09
2116,Hussain18,0.0,0.0,2.27,0.09
2117,vivekmehra018,0.0,0.0,2.27,0.09
2118,JulfryadiP,0.0,0.0,2.27,0.09
2119,K' |BLVCK,0.0,0.0,2.27,0.09
2120,≡ƒûñBlair OΓÇÖconnor≡ƒûñ,0.0,0.0,2.27,0.09
2121,ASAP,0.0,0.0,2.27,0.09
2122,vladazhohall,0.0,0.0,2.27,0.09
2123,Kiyantamam,0.0,0.0,2.27,0.09
2124,Kj,0.0,0.0,2.27,0.09
2125,Tong Yam,0.0,0.0,2.27,0.09
2126,! Jocey<3,0.0,0.0,2.27,0.09
2127,KOKO,0.0,0.0,2.27,0.09
2128,Khoirul123,0.0,0.0,2.27,0.09
2129,Hero500,0.0,0.0,2.27,0.09
2130,Khali,0.0,0.0,2.27,0.09
2131,! Saber,0.0,0.0,2.27,0.09
2132,vinaysarangi143,0.0,0.0,2.27,0.09
2133,Karleesi,0.0,0.0,2.27,0.09
2134,Djilali04,0.0,0.0,2.27,0.09
2135,Hoego≡ƒûñ,0.0,0.0,2.27,0.09
2136,Djilali25,0.0,0.0,2.27,0.09
2137,KazETH,0.0,0.0,2.27,0.09
2138,KeEmL├│Maß╡ûß╢╗,0.0,0.0,2.27,0.09
2139,Tigerr,0.0,0.0,2.27,0.09
2140,Dk_Crypto7,0.0,0.0,2.27,0.09
2141,Toaster,0.0,0.0,2.27,0.09
2142,Hiro≡ƒÆÖ,0.0,0.0,2.27,0.09
2143,viljaurora,0.0,0.0,2.27,0.09
2144,vineet,0.0,0.0,2.27,0.09
2145,┘┤┘┤┘┤,0.0,0.0,2.27,0.09
2146,Kevina,0.0,0.0,2.27,0.09
2147,Tommi34,0.0,0.0,2.27,0.09
2148,Julian777,0.0,0.0,2.27,0.09
2149,JudsonRod,0.0,0.0,2.27,0.09
2150,IbrahimIbrahim,0.0,0.0,2.27,0.09
2151,Jeniie,0.0,0.0,2.27,0.09
2152,HasanArin,0.0,0.0,2.27,0.09
2153,Tendzo,0.0,0.0,2.27,0.09
2154,╬╣╤éz_j╬▒r╬▒nd╬╣ll╬▒,0.0,0.0,2.27,0.09
2155,Lalo.avatar,0.0,0.0,2.27,0.09
2156,Lantih,0.0,0.0,2.27,0.09
2157,vuiquadi,0.0,0.0,2.27,0.09
2158,TeddyBear,0.0,0.0,2.27,0.09
2159,ITS EVIL,0.0,0.0,2.27,0.09
2160,Ibnu99,0.0,0.0,2.27,0.09
2161,Joy1234,0.0,0.0,2.27,0.09
2162,Jean Paul Satir,0.0,0.0,2.27,0.09
2163,Dilla Csnv,0.0,0.0,2.27,0.09
2164,! Rei,0.0,0.0,2.27,0.09
2165,Tuco Salamanca,0.0,0.0,2.27,0.09
2166,Hanan345,0.0,0.0,2.27,0.09
2167,Hanafi,0.0,0.0,2.27,0.09
2168,Tamim100,0.0,0.0,2.27,0.09
2169,Tuturu,0.0,0.0,2.27,0.09
2170,vend,0.0,0.0,2.27,0.09
2171,Jhonreog,0.0,0.0,2.27,0.09
2172,JimBD247,0.0,0.0,2.27,0.09
2173,Hashiro Kazuman,0.0,0.0,2.27,0.09
2174,DomLovesSami<3,0.0,0.0,2.27,0.09
2175,Josephus,0.0,0.0,2.27,0.09
2176,KylieHills,0.0,0.0,2.27,0.09
2177,DivisiHumasPolri,0.0,0.0,2.27,0.09
2178,ANURAG5246,0.0,0.0,2.27,0.09
2179,Jony,0.0,0.0,2.27,0.09
2180,Johnny Sins,0.0,0.0,2.27,0.09
2181,≡æüñ┘┤┘┤┘┤┘┤┘┤┘┤┘┤┘┤┘┤┘┤┘┤┘┤┘┤┘┤,0.0,0.0,2.27,0.09
2182,Towsif1300,0.0,0.0,2.27,0.09
2183,Jisc,0.0,0.0,2.27,0.09
2184,Hawk_oP,0.0,0.0,2.27,0.09
2185,ANKIIIIITZ,0.0,0.0,2.27,0.09
2186,LOUD Fivela oc,0.0,0.0,2.27,0.09
2187,Toxic Records,0.0,0.0,2.27,0.09
2188,Disha,0.0,0.0,2.27,0.09
2189,Jimmyanderson,0.0,0.0,2.27,0.09
2190,Thangduc,0.0,0.0,2.27,0.09
2191,≡¥æÖ≡¥æû≡¥æ¢≡¥æó≡¥æÑ≡¥æÄ,0.0,0.0,2.27,0.09
